Date,Open,High,Low,Close,Adj Close,Volume
2022-09-22,300.000000,306.850006,298.700012,303.600006,301.918640,1648633
2022-09-23,303.600006,306.700012,298.000000,299.149994,297.493256,1815085
2022-09-26,298.450012,298.450012,283.799988,290.700012,289.090088,2968854
2022-09-27,294.700012,296.600006,288.750000,290.899994,289.288971,1455093
2022-09-28,289.600006,290.399994,284.200012,285.299988,283.719971,1282175
2022-09-29,290.000000,290.799988,279.399994,280.799988,279.244873,2125356
2022-09-30,281.000000,285.200012,277.850006,282.450012,280.885773,1767526
2022-10-03,283.000000,284.299988,277.149994,278.899994,277.355408,995894
2022-10-04,284.899994,290.850006,281.399994,286.950012,285.360840,3012926
2022-10-06,290.899994,298.399994,290.549988,295.149994,293.515411,2089120
2022-10-07,294.899994,297.250000,292.600006,293.649994,292.023743,933206
2022-10-10,289.000000,289.850006,279.600006,289.100006,287.498932,4479425
2022-10-11,292.500000,294.149994,280.649994,281.700012,280.139923,2868007
2022-10-12,282.399994,284.549988,279.250000,283.149994,281.581879,1271565
2022-10-13,283.299988,283.299988,276.500000,280.450012,278.896851,1074518
2022-10-14,287.000000,291.000000,282.149994,282.799988,281.233826,2267921
2022-10-17,282.200012,283.799988,279.000000,281.600006,280.040466,915070
2022-10-18,284.700012,285.899994,280.149994,281.399994,279.841583,1362739
2022-10-19,282.000000,282.899994,268.950012,272.200012,270.692535,2008682
2022-10-20,272.200012,286.899994,270.350006,286.000000,284.416107,3501417
2022-10-21,287.500000,288.100006,277.299988,280.399994,278.847107,2047060
2022-10-24,284.000000,284.000000,278.549988,282.149994,280.587402,438800
2022-10-25,282.000000,282.000000,272.000000,274.100006,272.582001,2799096
2022-10-27,276.500000,277.000000,269.299988,270.200012,268.703613,1992315
2022-10-28,270.399994,272.350006,262.200012,263.049988,261.593201,2292558
2022-10-31,265.700012,272.500000,265.299988,270.850006,269.350006,2530321
2022-11-01,271.299988,279.049988,270.500000,278.149994,278.149994,2175522
2022-11-02,278.000000,280.649994,274.250000,279.399994,279.399994,1647234
2022-11-03,275.399994,278.899994,274.149994,278.000000,278.000000,1155414
2022-11-04,278.850006,279.399994,272.000000,274.100006,274.100006,1437224
2022-11-07,260.549988,277.750000,260.549988,271.600006,271.600006,2623565
2022-11-09,274.700012,279.950012,273.000000,274.299988,274.299988,1895353
2022-11-10,273.000000,275.799988,270.299988,272.649994,272.649994,1008514
2022-11-11,282.000000,286.799988,279.000000,282.049988,282.049988,5472847
2022-11-14,283.000000,287.799988,281.600006,285.350006,285.350006,2928151
2022-11-15,285.950012,286.600006,279.899994,282.500000,282.500000,1092548
2022-11-16,285.399994,286.500000,277.450012,279.450012,279.450012,1431356
2022-11-17,277.000000,278.950012,274.000000,275.450012,275.450012,1113069
2022-11-18,276.000000,286.750000,275.000000,285.950012,285.950012,3820918
2022-11-21,285.500000,285.500000,278.000000,279.250000,279.250000,1434177
2022-11-22,279.350006,280.399994,273.000000,274.549988,274.549988,1565137
2022-11-23,276.549988,279.049988,274.649994,278.350006,278.350006,1596749
2022-11-24,279.700012,294.000000,279.000000,292.299988,292.299988,5323676
2022-11-25,294.600006,296.250000,291.000000,293.899994,293.899994,3518144
2022-11-28,294.799988,304.000000,293.700012,299.600006,299.600006,5038833
2022-11-29,300.200012,300.549988,295.049988,295.549988,295.549988,1707230
2022-11-30,296.200012,307.049988,294.649994,305.250000,305.250000,3774440
2022-12-01,311.000000,325.299988,310.500000,323.799988,323.799988,14224521
2022-12-02,325.399994,333.000000,321.750000,331.549988,331.549988,5883877
2022-12-05,333.200012,334.700012,328.350006,329.450012,329.450012,3717789
2022-12-06,326.000000,328.950012,320.649994,323.700012,323.700012,2358626
2022-12-07,321.500000,322.799988,315.700012,317.549988,317.549988,1968986
2022-12-08,317.549988,325.950012,314.700012,323.850006,323.850006,2661288
2022-12-09,327.000000,328.500000,306.649994,309.350006,309.350006,3829455
2022-12-12,308.950012,310.549988,299.350006,307.600006,307.600006,2916041
2022-12-13,310.000000,312.200012,305.049988,305.950012,305.950012,1570184
2022-12-14,307.600006,314.899994,307.600006,312.450012,312.450012,2737777
2022-12-15,312.649994,312.649994,301.750000,303.950012,303.950012,2269711
